well,treatment,t,eggs,juvs,inhibitor,stimulator,conc_stim,conc_inh,DA
1D8,TRD_hsolA_dafadine_0uM_DA0.5uM,0,96,4,dafadine,TRD_hsolA,1,0uM,0.5uM
1D8,TRD_hsolA_dafadine_0uM_DA0.5uM,10,NA,79,dafadine,TRD_hsolA,1,0uM,0.5uM
1E2,TRD_hsolA_dafadine_0uM_DA0.5uM,0,51,3,dafadine,TRD_hsolA,1,0uM,0.5uM
1E2,TRD_hsolA_dafadine_0uM_DA0.5uM,10,NA,35,dafadine,TRD_hsolA,1,0uM,0.5uM
1G2,TRD_hsolA_dafadine_0uM_DA0.5uM,0,98,18,dafadine,TRD_hsolA,1,0uM,0.5uM
1G2,TRD_hsolA_dafadine_0uM_DA0.5uM,10,NA,89,dafadine,TRD_hsolA,1,0uM,0.5uM
1A7,TRD_hsolA_dafadine_0uM_DAno,0,66,2,dafadine,TRD_hsolA,1,0uM,no
1A7,TRD_hsolA_dafadine_0uM_DAno,10,NA,63,dafadine,TRD_hsolA,1,0uM,no
1F12,TRD_hsolA_dafadine_0uM_DAno,0,87,16,dafadine,TRD_hsolA,1,0uM,no
1F12,TRD_hsolA_dafadine_0uM_DAno,10,NA,89,dafadine,TRD_hsolA,1,0uM,no
1G6,TRD_hsolA_dafadine_0uM_DAno,0,116,4,dafadine,TRD_hsolA,1,0uM,no
1G6,TRD_hsolA_dafadine_0uM_DAno,10,NA,92,dafadine,TRD_hsolA,1,0uM,no
1B12,TRD_hsolA_dafadine_50uM_DA0.5uM,0,74,6,dafadine,TRD_hsolA,1,50uM,0.5uM
1B12,TRD_hsolA_dafadine_50uM_DA0.5uM,10,NA,45,dafadine,TRD_hsolA,1,50uM,0.5uM
1G11,TRD_hsolA_dafadine_50uM_DA0.5uM,0,73,9,dafadine,TRD_hsolA,1,50uM,0.5uM
1G11,TRD_hsolA_dafadine_50uM_DA0.5uM,10,NA,55,dafadine,TRD_hsolA,1,50uM,0.5uM
1G7,TRD_hsolA_dafadine_50uM_DA0.5uM,0,89,18,dafadine,TRD_hsolA,1,50uM,0.5uM
1G7,TRD_hsolA_dafadine_50uM_DA0.5uM,10,NA,56,dafadine,TRD_hsolA,1,50uM,0.5uM
1B1,TRD_hsolA_dafadine_50uM_DAno,0,61,8,dafadine,TRD_hsolA,1,50uM,no
1B1,TRD_hsolA_dafadine_50uM_DAno,10,NA,36,dafadine,TRD_hsolA,1,50uM,no
1B7,TRD_hsolA_dafadine_50uM_DAno,0,63,7,dafadine,TRD_hsolA,1,50uM,no
1B7,TRD_hsolA_dafadine_50uM_DAno,10,NA,47,dafadine,TRD_hsolA,1,50uM,no
1D2,TRD_hsolA_dafadine_50uM_DAno,0,67,5,dafadine,TRD_hsolA,1,50uM,no
1D2,TRD_hsolA_dafadine_50uM_DAno,10,NA,34,dafadine,TRD_hsolA,1,50uM,no
1E8,TRD_hsolA_dafadine_50uM_DAno,0,84,0,dafadine,TRD_hsolA,1,50uM,no
1E8,TRD_hsolA_dafadine_50uM_DAno,10,NA,11,dafadine,TRD_hsolA,1,50uM,no
1F3,TRD_hsolA_dafadine_50uM_DAno,0,68,4,dafadine,TRD_hsolA,1,50uM,no
1F3,TRD_hsolA_dafadine_50uM_DAno,10,NA,17,dafadine,TRD_hsolA,1,50uM,no
1G3,TRD_hsolA_dafadine_50uM_DAno,0,77,9,dafadine,TRD_hsolA,1,50uM,no
1G3,TRD_hsolA_dafadine_50uM_DAno,10,NA,22,dafadine,TRD_hsolA,1,50uM,no
